"Date","Title","Rating","Content","Source"
2016-09-23,"exceeded my expectations",10,"Fortunate enough to get a real good deal for a Business Class ticket on the inaugural Wellington to Canberra flight on 21 Sept 2016. Check in was quick and efficient, boarding was even quicker. Short Haul Business Class cabin in a 2-2-2 configuration, very comfortable and I found it quite spacious. Cabin crew very friendly as you expect from Singapore Airlines. A little pomp and ceremony being the first every B777-200 commercial flight out of Wellington, the first flight between Wellington and Canberra. Flight was fairly full, only a few seats left here and there. Quick take off and the service began with bubbles of course, food was really tasty and restaurant quality. Cabin crew very attentive, engaging and we had a few laughs along the way too. Flight was smooth, lie flat bed was flat and comfortable, still managed a few zzz's before landing. Seat comfort itself was great and inflight entertainment system, well I didn't try it at all, we were too busy having bubbles and food and laughs. Was a great flight and Singapore Airlines exceeded my expectations on this trip by far!","Skytrax"
2016-09-22,"not let instruments as carry on",1,"Brisbane to London via Singapore. Would not recommend flying with Singapore Airlines if you are a musician who values their instruments. Never had any trouble with taking my guitar on other flights but as I went to book into my flight at Brisbane I was told that it was not company policy to let people take instruments on board and that I'd have to stow it under the plane. After a long discussion with the manager about how I've never had any trouble before and that it'd easily fit in an overhead onboard the aircraft she said to come back to the desk at around 9:30 when the crew would arrive, so I could ask them if I could be made an exception. I came back at 9 to be told that the crew had already arrived and said no so I would have to stow the instrument, I was then made to sign a form to waive my right to sue if the instrument was damaged before boarding the aircraft. I was assured by the staff that the guitar would be treated with the utmost care and I tried to put it to the back of my mind and enjoy the flight. Upon arriving back home I'm sad to see the wood on the head of the guitar has split and two of the tuning pegs have been damaged meaning my guitar which has traveled the world with me is now no more than an expensive ornament. What made me really dissapointed was being told there wouldn't be enough room on the aircraft for my guitar and then seeing 3 overhead compartments directly next to me free of any carry on luggage and plenty of seats free for it to have been stored. I know it's not Singapore Airlines policy to let people take instruments as carry on but I'm less than impressed about being lied to about not having enough room onboard and the fact that every other airline I've flown has had no problems with it. Apart from the guitar the flight was lovely, food amazing, staff were very friendly and the stewardess knew how to make a mean White Russian! Just wouldn't advise any musicians to take the risk and lose their beloved instrument.","Skytrax"
2016-09-12,"found the aircraft to be dated",7,"Cape Town to Ko Samui via Singapore. The flight departed on time, with staff efficient and friendly. The standard and quantity of food offered has dropped. Staff work very hard, are intelligent and friendly. I found the aircraft to be dated, and the inflight entertainment quite limited. The aircraft was spotless, but again the 70's interior feel, and the lack of a decent IFE offer was disappointing. It reminds of the flights I took in the 90's. The seat was comfortable and the leg room was adequate. The second leg to Samui was a standard quick hop from Singapore with a superior plane and staff.","Skytrax"
2016-09-07,"couldn't fault this flight",10,"Singapore to Munich. Check in was great, straight up to the desk. Used the business class lounge which was good to have a bite to eat and relax. This aircraft had the new business class seat and the reviews are right - it is the best business seat I've come across. Heaps of room and your own little compartment. Had 3 course meal before bed. The bed was great with myself 6'4 being able to totally lay stretched out and get hours of sleep. Booked the cook and had the full English breakfast before landing. Couldn't fault this flight one bit.","Skytrax"
2016-08-29,"a superior travel experience",9,"I booked a flight from Melbourne to Trivandrum via Singapore. I had a great connection - only 4 hours transit in Singapore. A few weeks later my SilkAir India flight was rescheduled. However Singapore Airlines provided me with a hotel for the day, transfers and meals. So although delayed for a day I got to go sight seeing in Singapore and had a rest at a very nice hotel. Previously I flew Etihad to India via Abu Dhabi. However Etihad has 10 abreast seating on the 777 and it was a 14 hour flight and very uncomfortable. I chose Singapore Airlines for the 9 abreast seating on the 777 and the 8 hour flight to Singapore which was much more enjoyable. The service with Singapore Airlines was excellent including hot towels and fantastic cabin crew. Changi Airport was a beautiful place to visit and Singapore is a beautiful city for a stopover. I totally recommend Singapore Airlines, Silk Air and Changi Airport for a superior travel experience when you have a choice!","Skytrax"
2016-08-26,"an average flying experience",6,"I flew from Brisbane to Beijing to Perth with Singapore Airlines via Singapore. Apart from the one leg on the A380 (PEK-SIN), the other legs were operated by old and tired aircraft with cabin interiors that said as much. The FAs were the usual attentive and professional SQ Girls & Boys and the IFE was ""well stocked"" but I wasn't able to enjoy it because it kept crackling and, on at least two occasions, the movie re-started itself. In the end we got to our destinations safely and on time, I guess. Overall, it was an average flying experience.","Skytrax"
2016-08-20,"standard of service being dropped",4,"Singapore to Tokyo Narita. The service was horrible with staff not as polite or welcoming as they use to be in the earlier flights experienced. I noticed the standard of service being dropped and the inflight entertainment system was horribly maintained. I ordered a drink from the air hostess but then she said that she wasn't free and would bring it in a while but 30 minutes passed no sight of her nor my drink.  The entertainment system remote being beside you at the seat was discomforting as whenever you pulled it your elbows would disturb the person beside you.","Skytrax"
2016-08-16,"best I have experienced in economy",9,"London to Denpasar Bali via Singapore. This was my first flight with Singapore Airlines. Both flights were extremely busy but boarding was efficiently handled. The baggage allowance of 30kgs for economy is excellent. We had only a short connection time in Singapore which could have been an issue hadn't the Heathrow flight got in early. Both flights were supposed to have used Terminal 2 in Singapore making in theory the transfer straightforward. The Heathrow flight arrived at Terminal 3 however while the Bali flight left from Terminal 1 which made for a longer transfer. The inflight entertainment system is good but not quite as good as Emirates. I was really impressed with the food and drink offered. I had a curry on the flight to Singapore which was excellent as was the ice cream served as a sweet. There was also a good selection of beers, wines and spirits. Snacks and drinks were available throughout the 13 hour flight to Singapore. The cabin staff were extremely attentive. Overall I was really impressed with the quality of the service and would say it was the best I have experienced in economy from any of the major airlines I have travelled with.","Skytrax"
2016-08-15,"all seats are changed",3,"London to Hong Kong via Singapore. Basically everything in the flight is ok but on the ground it does not match any Singapore Airlines standards anymore. First, when I arrived at the terminal ground at Changi airport, the staff told me that all seats are changed since there is an aircraft change. But I remembered when the tickets are booked, it is still an A380 and when I arrived at the gate, the same model appears at the airport. If really there is a better reason to shuffle all our seats even when we book it 3 months before, I think Singapore Airlines should explain to us since we are not the only one complaining at the time.","Skytrax"
2016-08-15,"don't feel there was anything special",7,"Hanoi to Singapore with Singapore Airlines. I feel that my expectations were really high and I don't feel like there was anything special about Singapore Airlines. The seat was wide and the IFE system was fantastic, but I found the food to be terrible and the flight attendants kind of rude.","Skytrax"
