"country","count","rank","screen_name","name","description","category","X","count.y","pop","percent"
"Kenya",566,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,619,35598952,91.44
"Belarus",55,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,61,9795287,90.16
"Kuwait",265,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,296,2296000,89.53
"Azerbaijan",180,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,203,8352021,88.67
"Saudi Arabia",795,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,907,2361236,87.65
"New Zealand",702,1,"FlyAirNZ","Air New Zealand️","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline",NA,811,4097112,86.56
"Turkey",505,1,"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,584,72969723,86.47
"Iraq",944,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,1094,27995984,86.29
"Oman",231,1,"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,268,2507042,86.19
"Bulgaria",40,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,47,7744591,85.11
"Turkey",494,2,"TK_TR","Turk Hava Yollari","Resmi Twitter hesabimiza hos geldiniz! Yeni yerleri ve cok daha fazlasini kesfetmek icin bizi takip edebilir, sorularinizi @TK_HelpDesk'e iletebilirsiniz.","airline",NA,584,72969723,84.59
"Pakistan",1388,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,1644,158080591,84.43
"Nepal",156,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,187,27093656,83.42
"Armenia",65,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,78,3017661,83.33
"Hungary",50,1,"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,60,10086387,83.33
"Egypt",557,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,669,72849793,83.26
"Romania",203,1,"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,245,21627557,82.86
"Azerbaijan",168,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,203,8352021,82.76
"Oman",221,2,"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,268,2507042,82.46
