id,screen_name,name,description,category,
119002935,_austrian,Austrian Airlines,"Official Austrian Airlines twitter Channel - the charming way to fly! For compliments and complaints, please refer to https://t.co/ODtoNtlX4z.",airline,
29413497,aegeanairlines,Aegean Airlines, The official Aegean Airlines twitter account. Skytrax Best Regional Airline in Europe for 2016. Member of Star Alliance since 2010.,airline,
281046179,AerLingus,Aer Lingus,We're here weekdays from 8am-6pm (Ireland) for anything that can be handled in 140 characters :) Contact us: https://t.co/vYjDNKUdYC,airline,
153900887,Aerolineas_AR,AerolineasArgentinas,Bienvenido a la cuenta oficial de Aerolineas Argentinas - Atencion de Lunes a Viernes de 9:30 hs a 17:00 hs - https://t.co/hiztGnTxcY,airline,
50505691,Aeromexico,Aeromexico,La linea que nos une. Conoce nuestro Aviso de Privacidad en: https://t.co/jkxzLghfEz,airline,
22919665,AirAsia,AirAsia,"Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!",airline,
113292385,AirAsiaId,AirAsia Indonesia,"Maskapai penerbangan berbiaya hemat dan inovatif. 
untuk segala pertanyaan/complaint silakan langsung mention @askairasia",airline,
190897280,airasiajp,AirAsia Japan【公式】,エアアジアの公式Twitterです。 s�n�・台湾・タイ・マレーシア・シンガポール・カンボジア・ベトナム、その他東南アジア・オーストラリアへの最新の旅情S�が満載！いただいたコメントへのz�返事はいたしか�i��すのでAsk AirAsiaよりご連絡下さい。【http://t.co/28mo6KPNbc】,airline,
167065734,AirAsiaThailand,AirAsiaThailand,เราคือสายการบินที่ใครๆก็บินได้ follow เราเพื่อรับข่าวสาร สอบถามข้อสงสัย หรือร่วมกิจกรรมรับของรางวัลที่นี่ หรือที่ http://t.co/05h2cgvu2c,airline,
26726695,airBaltic,airBaltic,"Official Twitter account of airBaltic, the leading airline in the Baltic countries. Contact us: http://t.co/JLriWShE9O",airline,
26223583,airberlin,airberlin,A warm welcome to the official airberlin Twitter account. Discover the world of airberlin and register now for the airberlin newsletter! https://t.co/tmcNONhGio,airline,
54904679,AirCanada,Air Canada,News & more. For fare discounts & special offers follow @ACFlightOffers. | Nouvelles et plus. Pour nos offres speciales suivez @ACFlightOffers.,airline,
222782095,AirEuropa,Air Europa,Damos respuesta a vuestras consultas de lunes a sabados. Atendemos en ES - CA - EN - FR - IT. Encuentranos tambien en el +34 902 401 501.,airline,
