"country","count","pop","percent.popn","percent.total"
"Singapore",9800,4327468,0.226460368973266,10.224
"India",9039,1134403141,0.000796806679504777,9.43
"United Kingdom",7266,60244834,0.0120607851620937,7.58
"Australia",7180,20310208,0.0353516812826338,7.49
"United States",6140,299846449,0.00204771476216482,6.405
"Indonesia",5360,226063044,0.00237102000625985,5.592
"China",4542,1312978855,0.00034593093275672,4.738
"Thailand",3635,63002911,0.00576957467885889,3.792
"Malaysia",3357,25652985,0.0130861964017053,3.502
"Netherlands",2825,1632769,0.173018963490855,2.947
"Japan",2429,127896740,0.00189918836086049,2.534
"Brazil",2305,186830759,0.00123373689232831,2.405
"Greece",1967,11099737,0.017721140599998,2.052
"Pakistan",1644,158080591,0.00103997586901734,1.715
"Hong Kong",1570,7057418,0.0222460962351954,1.638
"Russia",1482,143953092,0.00102950202695195,1.546
"France",1205,60990544,0.00197571610445055,1.257
"United Arab Emirates",1108,4104291,0.0269961364825252,1.156
"Ecuador",1101,13060993,0.0084296806529182,1.149
"Iraq",1094,27995984,0.00390770333344954,1.141
"Italy",1031,5864636,0.0175799486958781,1.076
"Greenland",950,57475,1.65289256198347,0.991
"Saudi Arabia",907,2361236,0.0384120858736696,0.946
"Spain",899,43397491,0.00207154832983317,0.938
"Canada",853,32270507,0.00264328044179783,0.89
"Morocco",832,30494991,0.00272831692260542,0.868
"Germany",823,82652369,0.000995736734418344,0.859
"New Zealand",811,4097112,0.0197944308088234,0.846
"Argentina",806,38747148,0.00208015309926811,0.841
"Ireland",726,4143294,0.01752229023574,0.757
"Mexico",711,104266392,0.000681907167172333,0.742
"Egypt",669,72849793,0.000918327935399899,0.698
"Chile",664,16295102,0.00407484408505083,0.693
"Venezuela",629,26725573,0.00235355103518267,0.656
"Kenya",619,35598952,0.00173881523253831,0.646
"Turkey",584,72969723,0.000800331940413149,0.609
"Vietnam",490,85028643,0.000576276396649068,0.511
"South Africa",489,47938663,0.00102005347958912,0.51
"South Korea",464,47869837,0.000969295132548707,0.484
"Slovenia",461,1999425,0.0230566287807745,0.481
"Switzerland",455,7424389,0.00612845043544997,0.475
"Taiwan",386,22704059,0.00170013652624846,0.403
"Colombia",371,4494579,0.00825438823079981,0.387
"Ukraine",347,46917544,0.000739595405931734,0.362
"Belgium",339,10398049,0.0032602269906595,0.354
"Serbia",322,9863026,0.0032647181503932,0.336
"Bangladesh",321,15328112,0.00209419137855986,0.335
"Portugal",302,10528226,0.00286847945703293,0.315
"Kuwait",296,2296000,0.0128919860627178,0.309
"Oman",268,2507042,0.0106898887214494,0.28
"Romania",245,21627557,0.00113281402980466,0.256
"Sweden",225,9038049,0.00248947532813774,0.235
"Sri Lanka",204,19120763,0.00106690303101398,0.213
"Azerbaijan",203,8352021,0.00243054944426026,0.212
"Nepal",187,27093656,0.000690198473029996,0.195
"Denmark",183,5416945,0.00337828794643475,0.191
"Zimbabwe",150,13119679,0.00114332065593983,0.156
"Kazakhstan",142,15210609,0.000933558939027359,0.148
"Poland",139,38195558,0.000363916662770053,0.145
"Finland",137,5246004,0.00261151154288102,0.143
"Austria",116,8291979,0.00139894227903857,0.121
"Iran",90,69420607,0.000129644501667927,0.094
"Israel",90,6692037,0.0013448819843644,0.094
"Czech Republic",81,10191762,0.000794759532257523,0.085
"Armenia",78,3017661,0.00258478338024052,0.081
"Solomon Islands",78,472419,0.0165107669251237,0.081
"Afghanistan",69,25067407,0.000275257827823995,0.072
"Fiji",68,828046,0.00821210415846463,0.071
"Belarus",61,9795287,0.000622748470769667,0.064
"Peru",61,27274266,0.000223654048105273,0.064
"Hungary",60,10086387,0.000594861172786648,0.063
"Myanmar",58,47967266,0.00012091579286591,0.061
"Bolivia",55,9182015,0.000598997061102601,0.057
"Tonga",49,99361,0.04931512364006,0.051
"Bulgaria",47,7744591,0.000606875172620478,0.049
"Croatia",43,455149,0.00944745566836355,0.045
"Mongolia",32,2580704,0.00123997172864459,0.033
"Latvia",31,2301793,0.00134677618708546,0.032
