"screen_name","name","description","category","X","count"
"nytimes","The New York Times","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.","news",NA,100
"twitter","Twitter","Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.","channel",NA,99
"qatarairways","Qatar Airways","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",NA,99
"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,99
"EtihadAirways","Etihad Airways","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",NA,99
"emirates","Emirates airline","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",NA,99
"cnnbrk","CNN Breaking News","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news",NA,98
"BBCWorld","BBC News (World)","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news",NA,98
"CNN","CNN","It's our job to #GoThere and tell the most difficult stories. Come with us!","news",NA,98
"Reuters","Reuters Top News","Top and breaking news, pictures, and videos from Reuters.","news",NA,98
"TheEconomist","The Economist","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel",NA,98
"YouTube","YouTube","lol watch this","channel",NA,98
"cathaypacific","Cathay Pacific","Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You'll find us tweeting Mon-Fri between 9am & 5pm","airline",NA,98
"NatGeo","National Geographic","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel",NA,98
"BarackObama","Barack Obama","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",NA,97
"WSJ","Wall Street Journal","Breaking news and features from the WSJ.","news",NA,97
"BBCBreaking","BBC Breaking News","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news",NA,97
"UN","United Nations","Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants","other",NA,97
"BillGates","Bill Gates","Sharing things I'm learning through my foundation work and other interests...","person",NA,97
"NASA","NASA","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other",NA,96
"TIME","TIME","Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.","news",NA,96
"KLM","Royal Dutch Airlines","Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!","airline",NA,96
"Qantas","Qantas","The official Qantas Twitter page to share information & get feedback. We're online 24 hours a day, 7 days a week.","airline",NA,96
"cnni","CNN International","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","news",NA,95
"AmericanAir","American Airlines","We're here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline",NA,95
"AP","The Associated Press","News from The Associated Press, and a taste of the great journalism produced by AP members and customers. Managed 24/7 by these editors: http://t.co/BibaTN49vB","news",NA,95
"lufthansa","Lufthansa","Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!","airline",NA,95
"Forbes","Forbes","Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.","channel",NA,94
"Airbus","Airbus","A global team designing, manufacturing and supporting the world's leading aircraft... with passengers at heart and airlines in mind.","travel",NA,93
"google","Google","News and updates from Google","channel",NA,93
"UNICEF","UNICEF","UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.","other",NA,93
"Microsoft","Microsoft","The official Twitter page for Microsoft consumer products and your source for major announcements and events.","brand",NA,93
"instagram","Instagram","Discovering �� and telling �� stories from around the world. Curated by Instagram's community team. Need help? Visit https://t.co/OQR3Kbbcdw.","channel",NA,93
"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,92
"Delta","Delta","Official account of Delta Air Lines. We're listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.","airline",NA,90
"Windows","Windows","Windows news, product info & global stories of people using Windows technology to #DoGreatThings. For support tweet @WindowsSupport","brand",NA,90
"washingtonpost","Washington Post","Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8","news",NA,89
"VirginAtlantic","Virgin Atlantic","Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR","airline",NA,89
"katyperry","KATY PERRY","Rising...","person",NA,89
"googlechrome","Google Chrome","The official Twitter account for the Google Chrome browser, OS, Chromebooks, Chromecast, and Web Store","brand",NA,89
"united","United","Conversations with you here are 140 characters-friendly. Tweet us any time. For a formal response visit https://t.co/cpgjUnDsve.","airline",NA,89
"Android","Android","News, tips, and tricks direct from the Android team.","brand",NA,89
"BoeingAirplanes","Boeing Airplanes","Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets","travel",NA,88
"gmail","Gmail","News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum.","brand",NA,88
"guardian","The Guardian","Top stories, special features, live blogs and more","news",NA,88
"SamsungMobile","Samsung Mobile","[Statement] Samsung Urges Galaxy Note7 Users to Immediately Participate in The Replacement Program https://t.co/qyBpeBPd64","brand",NA,87
"HeathrowAirport","Heathrow Airport","Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.","airport",NA,86
"NatGeoTravel","NatGeoTravel","Your guide to traveling with passion and purpose","travel",NA,86
"TripAdvisor","TripAdvisor","Know better, book better and go better on the world's largest travel site.","travel",NA,85
"airfrance","Air France","#FranceisintheAir! Stay connected for our latest news! At your service 24/7 (Personal info by DM only)","airline",NA,85
"lonelyplanet","Lonely Planet","Tweeting + retweeting the best in travel: in-depth articles, inspiring photography, intrepid videos. #lp | For the latest daily travel news see @lptravelnews","travel",NA,84
"Boeing","The Boeing Company","Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","travel",NA,84
"GooglePlay","Google Play","We're exploring the world's greatest stories through movies, TV, music, games, apps, books and so much more. Up for new adventures and discoveries? Let's play.","brand",NA,83
"Skype","Skype","The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.","brand",NA,82
"taylorswift13","Taylor Swift","Born in 1989.","person",NA,81
"MAS","Malaysia Airlines","Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline",NA,81
"staralliance","Star Alliance","The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.","airline",NA,81
"intel","Intel","Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport","brand",NA,80
"IATA","IATA","The International Air Transport Association (IATA) is the global trade association of airlines. Our 260 members comprise 83% of total air traffic.","travel",NA,80
"ChampionsLeague","Champions League","The official home of the UEFA Champions League on Twitter.     Spanish account: @LigadeCampeones U19: @UEFAYouthLeague","sports",NA,80
"TravelLeisure","Travel + Leisure","Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1","travel",NA,79
"ladygaga","JOANNE","Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.","person",NA,78
"TheEllenShow","Ellen DeGeneres","Comedian, talk show host and ice road trucker. My tweets are real, and they're spectacular. https://t.co/rJNCGU9GhH","person",NA,78
"BreakingNews","Breaking News","Be the first to know when news breaks. Get our free app to unlock more updates, see news near you and customize your alerts...","news",NA,77
"rihanna","Rihanna","Get #ANTI now: https://t.co/WH1Yy1ELJB","person",NA,77
"FIFAcom","FIFA.com","Bringing you interviews, features and news on FIFA and our 211 Member Associations. https://t.co/Qgt2IiVKey","sports",NA,76
"BBC_Travel","BBC Travel","Discover new cultures. Embark on new adventures. Celebrate. Explore. Engage. BBC Travel: Inspiring you to fall in love with the world.","travel",NA,76
"BBCNews","BBC News (UK)","News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport","news",NA,75
"TravelMagazine","The Travel Magazine"," Get the latest travel news, articles, reports, guides, offers, competitions and more from https://t.co/0In5ml7F8A - we'd love to hear from you too.","travel",NA,75
"jtimberlake","Justin Timberlake","","person",NA,75
"Oprah","Oprah Winfrey","","person",NA,74
"travelchannel","Travel Channel","The official Twitter account of Travel Channel (US). Follow us to talk about all things travel!","travel",NA,73
"googlemaps","Google Maps","Photographic dispatches from Planet Earth.","brand",NA,73
"premierleague","Premier League","Official Twitter account of the Premier League. The official Premier League app is now LIVE and FREE to download https://t.co/2wlDwf7gu1","sports",NA,73
"LouisVuitton","Louis Vuitton","The official Twitter page for Louis Vuitton Worldwide. Contact client services at @LVServices for customer assistance and personalised advice.","brand",NA,72
"nytimestravel","NY Times Travel","Travel news and features from around the world.","travel",NA,71
"espn","ESPN","We talk about sports, sports, and well ... sports.","sports",NA,71
"britneyspears","Britney Spears","My new album #Glory is out now!","person",NA,71
"FlyAirNZ","Air New Zealand️","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline",NA,69
"Dior","Dior","","brand",NA,69
"NewYorker","The New Yorker","The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.","channel",NA,68
"easyJet","easyJet","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel",NA,68
"facebook","Facebook","Giving people the power to share and make the world more open and connected.","brand",NA,67
"CNTraveler","Conde Nast Traveler","At home in the world. 

Snapchat: CNTraveler","travel",NA,67
"WorldBank","World Bank","The official World Bank Twitter feed. The World Bank's mission is to fight poverty with passion and professionalism for lasting results.","other",NA,67
"WhiteHouse","The White House","Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr","other",NA,67
"hrw","Human Rights Watch","We provide timely information on #humanrights crises in 90+ countries. Curated by @jimmurphysf, @astroehlein & @snorthfield45 Staff list https://t.co/wBw0SILvlQ","other",NA,66
"FCBarcelona","FC Barcelona","More official accounts @fcbarcelona_cat @fcbarcelona_es @fcbarcelona_br @fcbarcelona_jp @fcbarcelona_id, @fcbarcelona_ara @fcbarcelona_fra @fcbarcelona_tr","sports",NA,66
"TEDTalks","TED Talks","The official feed for http://t.co/XyGsGk6F0m. Ideas worth spreading.","channel",NA,65
"WIRED","WIRED","WIRED is where tomorrow is realized.","channel",NA,64
"richardbranson","Richard Branson","Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!","person",NA,64
"ABC","ABC News","See the whole picture with @ABC News. Join us on Facebook: https://t.co/ewMNZ54axm","news",NA,62
"FIFAWorldCup","FIFA World Cup","Updates for Russia 2018 provided by the Official Site of the FIFA World Cup","sports",NA,61
"luxury__travel","A Luxury Travel Blog","Blogging on all things luxury travel at http://t.co/qClm5pokjd - please contact us via the blog ( http://t.co/ItuVWGd0i7 )","travel",NA,60
"WHO","WHO","Official Twitter account of the World Health Organization, the United Nations' health agency","other",NA,60
"Expedia","Expedia","Travel tips, inspiration & deals from https://t.co/fcT976R6Hd. Customer service from 5am-10pm PT daily. Have you checked out the Expedia Viewfinder blog yet?","travel",NA,60
"GuardianTravel","Guardian Travel","The latest travel news, insider guides, emerging destinations, new hotels and travel trends from the @Guardian. Instagram: guardiantravelsnaps","travel",NA,60
"Cristiano","Cristiano Ronaldo","This Privacy Policy addresses the collection and use of personal information - https://t.co/Jp6yh1T58c","person",NA,59
