"followee","screen_name","name","timezone","description","category","count"
807095,"nytimes","The New York Times","Eastern Time (US & Canada)","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.","news",100
783214,"twitter","Twitter","Pacific Time (US & Canada)","Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.","channel",99
14589119,"qatarairways","Qatar Airways","Kuwait","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline",99
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",99
45621423,"EtihadAirways","Etihad Airways","Abu Dhabi","Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp","airline",99
821045162,"emirates","Emirates airline","Abu Dhabi","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline",99
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news",98
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news",98
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news",98
1652541,"Reuters","Reuters Top News","Eastern Time (US & Canada)","Top and breaking news, pictures, and videos from Reuters.","news",98
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel",98
10228272,"YouTube","YouTube","Pacific Time (US & Canada)","lol watch this","channel",98
16898427,"cathaypacific","Cathay Pacific","Hong Kong","Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You’ll find us tweeting Mon-Fri between 9am & 5pm","airline",98
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel",98
813286,"BarackObama","Barack Obama","Eastern Time (US & Canada)","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person",97
3108351,"WSJ","Wall Street Journal","Eastern Time (US & Canada)","Breaking news and features from the WSJ.","news",97
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news",97
14159148,"UN","United Nations","Eastern Time (US & Canada)","Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants","other",97
50393960,"BillGates","Bill Gates","Pacific Time (US & Canada)","Sharing things I'm learning through my foundation work and other interests...","person",97
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other",96
14293310,"TIME","TIME","Eastern Time (US & Canada)","Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.","news",96
56377143,"KLM","Royal Dutch Airlines","Amsterdam","Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!","airline",96
218730857,"Qantas","Qantas","Sydney","The official Qantas Twitter page to share information & get feedback. We’re online 24 hours a day, 7 days a week.","airline",96
2097571,"cnni","CNN International","London","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","news",95
22536055,"AmericanAir","American Airlines","Central Time (US & Canada)","We’re here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline",95
