followee,count
807095,100
783214,99
14589119,99
18332190,99
45621423,99
821045162,99
428333,98
742143,98
759251,98
1652541,98
5988062,98
10228272,98
16898427,98
17471979,98
813286,97
3108351,97
5402612,97
14159148,97
50393960,97
11348282,96
14293310,96
56377143,96
218730857,96
2097571,95
22536055,95
51241574,95
124476322,95
91478624,94
15425377,93
20536157,93
33933259,93
74286565,93
180505807,93
18909186,92
5920532,90
15670515,90
2467791,89
20626359,89
21447363,89
56505125,89
260907612,89
382267114,89
22090282,88
38679388,88
87818409,88
297169759,87
20823928,86
36184220,86
16365636,85
106062176,85
15066760,84
25103967,84
243381107,83
2459371,82
17919972,81
19106719,81
21401523,81
2803191,80
27067896,80
627673190,80
16211434,79
14230524,78
15846407,78
6017542,77
79293791,77
140070953,76
173992307,76
612473,75
19110632,75
26565946,75
19397785,74
14363353,73
31311757,73
343627165,73
44084633,72
1774391,71
2557521,71
16409683,71
19617105,69
348379865,69
14677919,68
38676903,68
2425151,67
17219108,67
27860681,67
30313925,67
14700316,66
96951800,66
15492359,65
1344951,64
8161232,64
28785486,62
138372303,61
12397052,60
14499829,60
17365848,60
21887420,60
155659213,59
19923144,58
32359921,57
44886859,57
85603854,57
2367911,56
69231187,56
136361303,56
14511951,55
33875003,55
265902729,55
101743223,54
14173315,51
14800270,51
14872237,51
17842366,51
134196350,51
326359913,51
7212562,50
15378041,50
54904679,50
20562637,49
22919665,49
106317808,49
30973,48
25365536,48
74594552,48
4898091,47
9624742,47
34713362,47
74580436,47
17093617,46
30899115,46
39559926,46
18148907,45
40205617,45
166607010,45
19407053,44
36065771,44
5120691,43
18493366,43
1339835893,43
2884771,42
10933662,42
26223583,42
67358777,42
487118986,42
1367531,41
9676212,41
27260086,41
54502344,40
21759987,39
24016767,39
972651,38
16184358,38
20609518,38
25053299,38
40113236,38
47459700,38
11856482,37
23375688,37
117662694,37
415859364,37
16153562,36
18949452,36
20646711,36
34613288,36
184910040,36
16343974,35
26235265,35
27650674,35
31143957,35
34442404,35
16031536,34
21764143,34
22910295,34
26257166,34
1536791610,34
6449282,32
23413363,32
32388036,32
85772748,32
166739404,32
28535982,31
95023423,31
205437050,30
621523,29
2142731,29
15012486,28
16425197,28
17874544,28
18647765,28
78021221,28
133880286,28
1330457336,28
8159472,27
15485441,27
24727891,27
816653,26
4970411,26
44196397,26
65268724,26
12101862,25
90836187,25
183387449,25
19583545,24
23976386,24
32468665,24
79320096,24
7587032,23
87416722,23
300392950,23
586671909,23
788524,22
10671602,22
789605024,22
44409004,21
378197959,21
413487212,21
16548023,20
21425125,20
72568426,20
323319539,20
1545994664,20
25073877,19
500704345,19
57016932,18
180295902,18
18625669,17
19230601,17
19426551,17
64643056,17
108568373,17
1636590253,17
2883841,16
19273963,16
50374439,16
77888423,16
130649891,16
145125358,16
155927976,16
21111883,15
26462022,15
69008563,15
101311381,15
300114634,15
14399483,14
15291335,14
18681139,14
18863815,14
88856792,14
146500034,14
349714440,14
18839785,13
19562228,13
20793816,13
34507480,13
35094637,13
44335525,13
54149214,13
60865434,13
119002935,13
132385468,13
177547780,13
338084918,13
15439395,12
16542390,12
18676177,12
64672345,12
65992743,12
87984807,12
213969309,12
285332860,12
21814628,11
373471064,11
15754281,10
17940246,10
19058681,10
20177423,10
28706024,10
44994215,10
57188977,10
100220864,10
101695592,10
113419517,10
115485051,10
122995784,10
158314798,10
175883705,10
226087776,10
259925559,10
317373303,10
1059194370,10
7849082,9
14224719,9
16589206,9
16629918,9
16973333,9
20071863,9
102323621,9
102382667,9
492399548,9
828742454,9
1379801,8
16694416,8
17055388,8
19913832,8
20015311,8
23573083,8
25379996,8
34197952,8
38266652,8
52551600,8
56883209,8
63253045,8
66334209,8
84279963,8
109241992,8
288333760,8
7230492,7
15224867,7
21209392,7
21366823,7
24705126,7
24886570,7
29479000,7
31348594,7
31927467,7
33884545,7
49573859,7
51376979,7
53556894,7
78084813,7
78941611,7
148711787,7
219255067,7
224223563,7
230140702,7
344634424,7
352145373,7
366947884,7
409089061,7
1542862735,7
6253282,6
14140913,6
14824849,6
15110357,6
15639696,6
16193578,6
16664681,6
23083404,6
23096405,6
23617610,6
25360913,6
25792111,6
37874853,6
38400130,6
38647512,6
57928790,6
66591836,6
73287339,6
73992972,6
92424604,6
134758540,6
158487331,6
160926944,6
168606635,6
170620083,6
242245578,6
307781209,6
527526077,6
533085085,6
5520952,5
5536782,5
14117843,5
14532122,5
20584172,5
24742040,5
24744541,5
24929621,5
26969502,5
34568673,5
37034483,5
41085467,5
42420346,5
55507370,5
56631494,5
59072662,5
62452990,5
68321763,5
115624161,5
185314895,5
215952307,5
216299334,5
366987179,5
471287735,5
471741741,5
558797310,5
1072915220,5
1244602586,5
2469605695,5
