followee,country,count,rank
14589119,None,120856,1
821045162,None,110752,2
45621423,None,102299,3
813286,None,97708,4
18332190,None,93711,5
16898427,None,85938,6
22919665,None,85083,7
428333,None,82046,8
15846407,None,81160,9
783214,None,80170,10
742143,None,78869,11
37874853,None,77253,12
807095,None,76864,13
10228272,None,76732,14
18909186,None,76465,15
38400130,None,75772,16
5402612,None,74569,17
218730857,None,72087,18
21447363,None,71762,19
41085467,None,69640,20
759251,None,69455,21
19106719,None,68924,22
56377143,None,68872,23
17919972,None,68185,24
124476322,None,65454,25
22536055,None,64655,26
50393960,None,62855,27
34568673,None,62737,28
574253,None,62468,29
115624161,None,61390,30
114356023,None,58174,31
27260086,None,57318,32
20626359,None,57305,33
5920532,None,56220,34
260907612,None,56086,35
307781209,None,55452,36
29498906,None,55222,37
59072662,None,54008,38
34565395,None,53925,39
79293791,None,52870,40
26565946,None,52834,41
68321763,None,52550,42
56883209,None,51081,43
37890902,None,49553,44
606437303,None,49356,45
5988062,None,48425,46
25365536,None,48402,47
106062176,None,48143,48
21401523,None,48107,49
14230524,None,47795,50
57034487,None,47715,51
1652541,None,47585,52
27807739,None,47554,53
16548023,None,47105,54
15378041,None,46303,55
3108351,None,44940,56
19617105,None,44521,57
17471979,None,44239,58
38140836,None,44060,59
67577830,None,43986,60
23375688,None,43889,61
14293310,None,43814,62
15485441,None,43473,63
34507480,None,42650,64
11348282,None,42346,65
19397785,None,42203,66
343627165,None,42085,67
20536157,None,41400,68
2557521,None,41384,69
7212562,None,40395,70
297169759,None,38796,71
2097571,None,37625,72
91478624,None,36358,73
2467791,None,36055,74
51241574,None,35754,75
21366823,None,35357,76
26257166,None,35219,77
487118986,None,35052,78
14159148,None,33765,79
15425377,None,33571,80
352145373,None,32580,81
15066760,None,32370,82
382267114,None,32272,83
74286565,None,31045,84
16365636,None,30477,85
20823928,None,29905,86
612473,None,29712,87
87818409,None,29486,88
180505807,None,29307,89
22090282,None,28127,90
19923144,None,28021,91
36184220,None,25555,92
25103967,None,25442,93
38676903,None,25387,94
15670515,None,25352,95
56505125,None,24602,96
243381107,None,24592,97
19426551,None,24505,98
