id,screen_name,name,timezone,country,description,count,category
14589119,qatarairways,Qatar Airways,Kuwait,Kuwait,"Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F",173895,airline
821045162,emirates,Emirates airline,Abu Dhabi,United Arab Emirates,The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7,159046,airline
45621423,EtihadAirways,Etihad Airways,Abu Dhabi,United Arab Emirates,"Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp",147133,airline
813286,BarackObama,Barack Obama,Eastern Time (US & Canada),None,This account is run by Organizing for Action staff. Tweets from the President are signed -bo.,140835,person
18332190,British_Airways,British Airways,London,United Kingdom,"Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit",138745,airline
16898427,cathaypacific,Cathay Pacific,Hong Kong,Hong Kong,"Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You’ll find us tweeting Mon-Fri between 9am & 5pm",124860,airline
22919665,AirAsia,AirAsia,Kuala Lumpur,Malaysia,"Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!",118430,airline
428333,cnnbrk,CNN Breaking News,Eastern Time (US & Canada),None,"Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.",117577,news
783214,twitter,Twitter,Pacific Time (US & Canada),None,"Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.",116959,channel
10228272,YouTube,YouTube,Pacific Time (US & Canada),None,lol watch this,114446,channel
807095,nytimes,The New York Times,Eastern Time (US & Canada),None,"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",112775,news
742143,BBCWorld,BBC News (World),London,United Kingdom,Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2,112071,news
5402612,BBCBreaking,BBC Breaking News,London,United Kingdom,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",111753,news
18909186,TurkishAirlines,Turkish Airlines,Istanbul,Turkey,Thanks for visiting Europe’s Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.,110831,airline
218730857,Qantas,Qantas,Sydney,Australia,"The official Qantas Twitter page to share information & get feedback. We’re online 24 hours a day, 7 days a week.",107851,airline
15846407,TheEllenShow,Ellen DeGeneres,Pacific Time (US & Canada),None,"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. https://t.co/rJNCGU9GhH",106806,person
56377143,KLM,Royal Dutch Airlines,Amsterdam,Netherlands,"Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!",103517,airline
19106719,MAS,Malaysia Airlines,Kuala Lumpur,Malaysia,Welcome to the official Malaysia Airlines Berhad Twitter account. We’re tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8),102665,airline
759251,CNN,CNN,Eastern Time (US & Canada),None,It’s our job to #GoThere and tell the most difficult stories. Come with us!,101801,news
21447363,katyperry,KATY PERRY,Alaska,United States,Rising...,99152,person
124476322,lufthansa,Lufthansa,Bern,Switzerland,Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!,96488,airline
37874853,STcom,The Straits Times,Singapore,Singapore,Breaking news from the online site of Singapore's most widely read newspaper,96426,news
50393960,BillGates,Bill Gates,Pacific Time (US & Canada),None,Sharing things I'm learning through my foundation work and other interests...,95854,person
